index,id,text,topic,emotion
13,1467644853639122952,"@RWMaloneMD Can you clarify if you are talking about reinfection in 1. unvaccinated people who’ve had Covid, 2. vaccinated people who have had Covid prior to vaccination and/or 3. people who were vaccinated 1st and then got Covid and now have Omicron?",vaccine-general-knowledge,neutral
14,1467644853429415938,finally got my 3rd covid booster! two no-shows &amp; vaccine was expiring within the hour &amp; we were lucky enough to also get a walk-in,booster-related,positive
15,1467644852447989762,"@reuvenmlerner @amandaripley @praddenkeefe @chouser And  2) Have you looked at any of the information in the docs the court forced Pfizer to release and the numbers of Adverse Effects, including deaths, they saw?",pfizer-related,negative
16,1467644852217151492,"Pfizer Adverse reactions Cumulative Case Totals

November Projections

Pericarditis
Myocarditis
Tachycardia
Troponin Increase
Seizure
Deep Vein Thrombosis
Pulmonary Embolism https://t.co/1G8uNIorDh",vaccine-general-knowledge,neutral
17,1467644852087271435,"How can the government claim that the Covid-19 vaccination programme is a ""phenomenal success"" when only 69.4% of the UK population is fully vaccinated 12 months after the vaccination programme began.

https://t.co/BAJizAkV2l",political-related,negative
18,1467644838392778754,AdventHealth suspends COVID-19 vaccine mandate for employees https://t.co/VpBRCgUAX1,political-related,neutral
19,1467644837579137036,"@richbuster @StacheBitcoin @POTUS There were never any promises the vaccine would stop you from getting covid. Never. They said the vaccine will help keep you from going to the hospitals, having long term effects, or dying. That's good enough for me. Whoever lied to you is probably lying about everything else too",vaccine-general-knowledge,neutral
20,1467644816381128704,@kanzlerflorian @piskomusic @EMA_News @EU_Health @EU_Commission Nope Its under EUA in Europe as well. Pfizer for adults is the only one that passed fully.,pfizer-related,neutral
21,1467644813487099910,"What gets me, you can be vaccinated as many times as you want.... But the vaccinated can STILL GET COVID, STILL PASS IT ON PLUS WE KNOW NOTHING HOW THE VACCINE AFFECTS OUR BODIES! IT COULD BE A NIGHTMARE AWAITING TO HAPPEN!😮 https://t.co/lCFmb7fNE7",side-effect-related,negative
22,1467644790347112450,".......16% since vaccine roll out so the deaths aren't due to the 10% unvaccinated dying of covid.

What are they dying of?",vaccine-outlook-related,negative
23,1467644782646337537,"@disclosetv Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
24,1467644778326405120,#Infodemics &amp; political #ideologies . “Pro-Trump counties now have far higher #COVID death rates” : Shots - Health News : NPR https://t.co/4eqpJLKRki,political-related,negative
25,1467644777671770112,"Over 42,000 Adverse Reaction Reports Revealed In First Batch Of Pfizer Vax Docs
https://t.co/W4khWqZO7z",side-effect-related,negative
26,1467644775151058951,"👇👇👇
💥💥💥
Rattana Sarakarn: 54-Year-Old Dies 3 Days After Receiving Pfizer COVID-19 Vaccine, Family Seeks Answers

https://t.co/7BLRbOnLQz 
https://t.co/z2OrgZFIRJ",pfizer-related,negative
27,1467644754393448448,@Fender56Graham So your opinion is segregate and discriminate people who refuse the vaccine. I'm sure China would welcome you with open arms. When they had leukemia any virus or disease is life threatening. 0.5% to 1% death rate from covid.,political-related,negative
28,1467644752405405698,"@TigerDogB @rick_pittman I literally just had covid last month. I have a higher chance of adverse reactions from the vaccine at this point. My employer didn’t care and suspended me, although I work from home.",work-related,negative
29,1467644744217944069,@cigarsalesman @akheriaty The same all cause fatality rates were consistent year over year for the first two months of 2020; slightly reduced during Covid hysteria months 03.2020&gt;06.2021. Now climbing since vaccine coercion became in vogue. Not a coincidence to say the least; all planned long before.,political-related,negative
30,1467644741793640452,"@HumanRights4UK @StigAbell US Court orders release after FOIA request was made by a govt accountability group called Public Health and Medical Professionals for Transparency. First few pages of Pfizer Doc shows TENS OF THOUSANDS of reported adverse reactions, incl. 1200 deaths IN THE FIRST # MONTHS. https://t.co/XMkjGpClk5",political-related,neutral
31,1467644732469698561,Everyone needs to ring and email our politicians make them aware they are culpable in jaxing kids😬 Use Vietnam 🇻🇳 as example and release of Pfizer documents as to why they are doing this👊🏻✌️,political-related,negative
32,1467644728082636801,"@USlawreview Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
33,1467644707438088193,‘Wall of secrecy’ in Pfizer contracts as company accused of profiteering - The Guardian https://t.co/elJlJnl7jC,pfizer-related,negative
34,1467644705802489864,@JacquelineWxxx @Bob36783646 @PvanHouwelingen @FleurAgemaPVV @IkNet @BorgerPieter COVID-19 is.. COrona Vaccination IDentification 2019,other,neutral
35,1467644672420069377,"@Breaking911 So, let me try to understand since I’m not as smart as the “Surgeon General”. If I get “vaccinated and boosted” I can live as if I’m not vaccinated and boosted. And I can still catch, give, be hospitalized and die from Covid. Not a strong argument to take the deadly vaccine…",booster-related,negative
36,1467644658666770433,"@toemodelcitizen @TheBadGod @Timcast So when you gonna start questioning why you need so many shots to fight covid? Or why they changed the definition on ""vaccine""?",booster-related,negative
37,1467644655143727114,"@AlphaNewsMN Can we talk about how Immunology 101 has prevailed over MAGA world?
https://t.co/DvrWVwcemc",political-related,neutral
38,1467644648285949952,Pro-Trump counties now have far higher COVID death rates. Misinformation is to blame.  https://t.co/m0FYhpVJoD,political-related,negative
39,1467644641671479304,@LarsLarsonShow @POTUS Then it clearly is not a vaccine. Because if it was a vaccine there would be immunity and this whole covid scene would have been over 12 months ago.,vaccine-outlook-related,negative
40,1467644640895684622,"@djlange @Pcr_Hayir Vaccine is new God. Worship it, obey it, don't tell anything negative about it. This is new religion we are forced to believe. 

Btw, covid-19 is not real, it is fake. Deaths are fake, spread is fake, media is fake.",vaccine-outlook-related,negative
41,1467644610675630080,The latest package leaflet for Comirnaty (Pfizer) now mentions myocariditis and pericarditis but says it is very rare. I would love to know their definition of 'very rare' https://t.co/opTqlyBQUh,pfizer-related,neutral
42,1467644592392744969,"Your vaccination status isn’t going to reduce your interactions with COVID. It may stop you getting very sick though if you’re at risk. 

Sorry to be the one to tell you this, but at some point you’re gonna come into contact with COVID vaccinated or not. Shock…Horror…🙀 https://t.co/tULMmEA0Is",vaccine-general-knowledge,positive
43,1467644582099832833,"@RaeAnne8 @FrancaRose33 Some are. Adults get to make their own choices. Even ones I don't think are wise.

Had an immediate family member not vaccinate and got Covid, spent some hospital time. Two others got Covid pre-vaccine and were just fine.  

Others have vaccine reactions.",vaccine-outlook-related,neutral
44,1467644580858413056,"Just passing by &amp; thought I would say goodnight to u all... I think I've exhausted every goodnight gif so I'll be trying new ones... am going to bed early tonight as I'm so tired... I feel fine in myself but it's just tired me out, pfizer mixed with fibromyalgia not a good combo https://t.co/gK0FNPNVaq",pfizer-related,neutral
45,1467644579306475521,@VABVOX @EmmaPeele3 Everyone in my family is double vaccinated and we’ve also got the booster. To anyone who still refuses to get vaccinated or boosted because they don’t trust the vaccine or they feel COVID is fake or whatever I say fine go ahead. COVID is modern day Darwinism.,vaccine-outlook-related,positive
46,1467644574495559691,@Porti86862233 @__gotcha @Grumpyolddaddy @OliverTheUnique @M_B_Petersen @chrischirp @EricTopol @DrEricDing Hint: what is the major difference between this version of polio vaccine still used in developing countries vs all of the COVID-19 vaccines.,other,neutral
47,1467644566136311814,@emmaesmaily @POTUS What is a Pfizer x3?,pfizer-related,neutral
48,1467644559131820037,@voss749 @jmach913 That's right. An opposite like Pfizer would be recommended.,pfizer-related,positive
49,1467644558636847104,"The COVID - 19/mass 'vaccination' global rollout. Is a depopulaion, sterilization and slow kill program. The few people that control this planet in league with Satan, hate us and want most of us dead.",political-related,negative
50,1467644558565523462,@GhostofJCook @SteelKing4Ever @Patriot13777123 You missed  Pfizer and FDA refusing to show their clinical report until the year 2076. the FOIA released documents showing 1200+ deaths and 100s of 1000s adverse reactions in 90 days. My friend’s employee’s 6 year old son recently had a heart attack after shot. It’s happening.,pfizer-related,negative
51,1467644528937025540,"As non-unionized workers start heading back into the workplace, those who are unvaccinated may wonder whether their employer can require or demand vaccination of their workforce.

Read more about workplace vaccine mandates in our latest blog. https://t.co/8lfK2xf58w",vaccine-proof,neutral
52,1467644521416736769,"@LouDobbs Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,neutral
53,1467644511731871745,@mjordan73 @RealIvermectin @btysonmd Apparently you’re just as blind to the smear campaign against ivermectin as you are to the “vaccine” disinformation campaign calling them safe and effective. Brian has successfully treated thousands of Covid patients. What’s your claim to fame?,other,neutral
54,1467644509789954053,&gt;&gt;&gt; Pro-Trump counties now have far higher COVID death rates. Misinformation is to blame   Counties that went heavily for Donald Trump have seen much lower vaccination rates and much higher death rates from COVID   https://t.co/DnYFw1bCZM,retweet,neutral
55,1467644508104015872,"@DomSchiener This is not about the spread of COVID, it's more about forcing people to follow whatever rules governments impose. 1- W/or without vaccine any person can pass the virus to others. 2 - Whats the all logic of forcing people to show prof of vaccine, vaccine does not stop the spread.",political-related,negative
56,1467644503817342977,@MellingJen @matthewrobb701 @DavidFPower @afneil https://t.co/66Jm7WlBeu That was hard. Report your story cause I'd love to read a fact checked article about it. Clearly you are very unlucky.,other,neutral
57,1467644492975153154,"@ChristinaPushaw Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
58,1467644485295349763,@Timcast Four covid injections in under a year! That IS NOT A VACCINE!!!,booster-related,negative
59,1467644479880454145,Italian Man Who Tried To Use Fake Arm For Covid-19 Vaccine Is A Healthcare Worker https://t.co/m5qgiRL0bk https://t.co/CyqZ3dpPG1,vaccine-proof,neutral
60,1467644477523247106,i have the vaccine but how do i explain to my parents that Big Pharma is bad and just wants to profit off covid https://t.co/l9NNQCR81V,political-related,neutral
61,1467644462084116481,"@rising_serpent Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,neutral
62,1467644439317340168,@McGiff Pfizer killed my father in 40 days.  All you playing Russian roulette or who are paid shills will most likely run out of luck sooner than later.,pfizer-related,negative
63,1467644427942432768,Judge denies L.A. firefighters union request to delay COVID vaccine mandate enforcement https://t.co/bfuFdZMuHg,work-related,neutral
64,1467644427309142017,"@tanquiro @maximusmadham @TrackerTrial His philanthropy is giving to the Bill and Melinda Gates Foundation. It’s a tax dodge rich people have. Every super rich person has a Foundation. He’s doubled his wealth despite ‘giving his money away’. The Foundation invests in Pfizer, John Deere, Bayer/Monsanto &amp; more  1/2",other,neutral
65,1467644425564311562,"@libertytarian Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
66,1467644423785750536,@ProudOldSoldier Well for starters the polio vaccine actually stops transmission. Covid vaccine is not a vaccine. Cause it does not stop transmission.,vaccine-general-knowledge,neutral
67,1467644419931312128,@CalumOakes1 @JuliaHB1 @afneil Try looking up vaccines and not this new covid vaccine as they are far to new to have any reliable  data.,vaccine-general-knowledge,neutral
68,1467644415418195968,"@biscuitsgod @bmc126 @afneil Please look at the data.
https://t.co/DjHNzhS8xK https://t.co/lyMDysZeBX",other,negative
69,1467644395130396673,"@SenSanders Nor is @pfizer or @moderna_tx financially responsible for any damages caused by the jab. I'm not saying that the jab will cause future health problems, but the fact that they get away scott-free if damages occur is disconcerting.",pfizer-related,negative
70,1467644393087807489,"@KurtSchlichter Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
71,1467644368513347594,"Let's start the week with good news.
https://t.co/GY6ieg8dE2",political-related,positive
72,1467644366315560962,@JohnC316 @cwebb2004 @treehugger1605 @Lin53237785 @johnabbottnet @Shenan2020 @LorieMeacham @DuckDuckGo Try again: https://t.co/JokA7usrPM,political-related,neutral
73,1467644361198514178,"@ThePatriotNurse Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
74,1467644339102879744,"@afbranco @AlphaNewsMN How about a cartoon illustrating this?
Call it ""the land of 10,000+ dead suckers.""

https://t.co/DvrWVwcemc",political-related,negative
75,1467644333407059969,@trevafcb2016 @naughtynell101 @TonyHinton2016 That’s so amazing to me because we have lost 60 patients to Covid this year in our ICU and not one of the 400+ doctors and nurses in my immediate circle know of anyone who has died or had a severe reaction to the vaccine. We know they must happen because you say so.,work-related,positive
76,1467644332588998656,Necessity of COVID-19 vaccination in previously infected individuals https://t.co/X7IBoXe6Ah,booster-related,positive
77,1467644331477676040,"@Ann_Ah_ @rudybouma @GeertenWaling As of 17 November 2021, the overall reporting rate across all age groups for myocarditis following vaccination with the Pfizer vaccine is 10 per million doses; for pericarditis, it’s 7 per million doses.1/3",vaccine-general-knowledge,neutral
78,1467644331305492482,"@curiousbird64 @DrJamesOlsson @iMadgen01 Only 1,518 got the vax and only 1,444 followed for two months - not enough to show less common side effects.
And then there's the pfizer pfactor (pic2) 
Any parent who vaccinates their healthy children should be listed as insane. Some say, abusive. 
#covid19vic #auspol #springst https://t.co/GP1d8PHu8T",pfizer-related,negative
79,1467644324263383040,"3 Children Dead, 120 Hospitalized — Pfizer Vaccine Batch Suspended - https://t.co/1C487ca2Cm AGAIN! DANGER!  DO NOT GET THE VAX!  DO NOT MURDER YOUR CHILD!  SAY NO!",side-effect-related,negative
80,1467644321029623813,@evil_liz Getting my booster next week. My junk will be super shielded after having Covid then getting two Pfizer’s. 🍻,booster-related,positive
81,1467644312326483968,"""Italian Man Who Tried To Use Fake Arm For Covid-19 Vaccine Is A Healthcare Worker"" https://t.co/Yu4engbaji #health #pharma",retweet,neutral
82,1467644310824890373,"@Cernovich Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
83,1467644286393069573,"@echo_chamberz I’m sure none of the 20,000 deaths in the VAERS database are due to Pfizer’s vaccine!!",pfizer-related,positive
84,1467644284946067457,"@matthewrobb701 @MellingJen @DavidFPower @afneil https://t.co/66Jm7WlBeu She's talking out of her arse. 15 out of 2.3 million had heart problems, yet she knows 5... like you said, BS.",side-effect-related,neutral
85,1467644275387211781,"@MaryGillan3 The first 2 were astra zenica but this one was Pfizer, I think on my letter it said you'd be getting Pfizer or moderna and my sister got something different again.",other,neutral
86,1467644274934259713,"Dolly Parton (Dolly Rebecca Parton) is an American singer, songwriter, multi-instrumentalist, actress, author, businesswoman, and humanitarian, known primarily for her work in country music. She also known for helping to fund Covid-19 vaccine research.

Effects by DesignationSix. https://t.co/HEDt7HFkcv",other,positive
87,1467644251248996358,"@PrisonPlanet Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
88,1467644243757830146,No checking of vaccination certificate/ COVID Test report being done at @DelhiAirport as observed today during boarding my @AirAsiaIndia flight to Guwahati today.,vaccine-proof,neutral
89,1467644209817653250,"The ""Omicron Variant "" made almost 12 BILLION dollars for Pfizer and Moderna shareholders in 1 week. https://t.co/vBiTRbAQQI",political-related,neutral
90,1467644167790673924,"@alltoorebecca Also will say I had covid before getting vaccinated, and had pfizer for all 3 doses and dose 2 knocked me on my ass. Booster reaction is just slightly better than dose 2",booster-related,positive
91,1467644161318866944,"@RoystonPotter Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
92,1467644158533718018,"Judge denies L.A. firefighters union request to delay COVID vaccine mandate enforcement
 https://t.co/ISUQab74jl",work-related,neutral
93,1467644150447235072,"Fully vaccinated staffers &amp; passengers....still got Covid on the ship. But sure, keep pushing the stupid vaccine mandates, they're working so well.

https://t.co/xR6oylcqvE",side-effect-related,negative
94,1467644148174004231,"@drnickgreiner See this shit by chance?

https://t.co/ixUhUS3E57",pfizer-related,negative
95,1467644124706783232,"@Jkylebass Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
96,1467644123226247168,So why are two more black NFL players being punished for misrepresenting their COVID vaccine status and #12 (the white guy) got off with a 1-game sit-out? Racist much? Was he fined?,political-related,negative
97,1467644122685218819,"@mhdksafa I know that you need to hear that neither Polio or smallpox have an animal reservoir host, but they did have a real vaccine available for protection.

Covid has @ least identified the idiots for us.",other,neutral
98,1467644100304412680,"@Timcast When does the IV drip come out?
Sorry ignore that Pfizer.",pfizer-related,neutral
99,1467644094566608896,"@ShellyMBoulder Seriously?  Do you think the Covid vaccine passport is so civilized?
It is the most stupid and totalitarian measure since the Third Reich.",vaccine-proof,negative
100,1467644063000285189,"My last OpEd (https://t.co/z3xsMMPwN9) was abt @KingJames &amp; encouraging vaccine uptake. The opportunity is still there, &amp; new @NEJM paper using no other than vax’d @NBA players’ data shows vaccinated ppl who get covid clear it faster (https://t.co/Ukiio5wJQS) h/t @RWeintraubMD https://t.co/JwQvKvSIHf https://t.co/qvmSjeNwIw",vaccine-general-knowledge,positive
101,1467644046881427458,"@Radica00 As most stocks plummeted in recent days, Pfizer has done surprisingly well. The trend has been upward for Pfizer while most of the other stocks took a nose dive. https://t.co/VsZwxmQNkr",pfizer-related,positive
102,1467644032067248135,"@EmmaStarkey11 @AlYap73961573 In Australia there's also been almost no Covid. And yes, Pfizer and Moderna's vaccines aren't well designed side effect wise and I would at the very least stop jabbing &lt;30 year olds with those.",political-related,neutral
103,1467644031257788422,"@MGresko2431 I won’t say it that way because I love them all dearly, but yes. They have chosen not to mask or vaccinate. I want them all healthy again, and I don’t want to lose any more family members on that side. One caught Covid before the vaccine and still wasn’t masked. It’s concerning.",other,neutral
104,1467644025813573634,@ArtKorenevsky @seanpero theres a huge difference between being in a vaccine required sports arena with no mask on and being in a covid ward obviously.,vaccine-proof,neutral
105,1467644022835474435,"Oh, and get the bloody vaccine. Several of the 40 people waiting in A&amp;E were there because of Covid",vaccine-outlook-related,positive
106,1467644016204337161,"@CanariesBlue Type pfizer criminal history into google. 
Its mandated you inject their product in our body.

""Pfizer has been a “habitual offender,” persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",retweet,negative
107,1467644007098503170,"@KARMAISAROUNDUS @Niros_CH @decaraiman Karma uite asta e tare! discutau oct. 2019! 
video ce zice Rick Bright ala fix de China
https://t.co/8PM26BO0jl
 Fauci""untested kind of vaccine like an mRNA vaccine,would take at least a decade (if everything goes perfectly”) to go through proper trials and be approved by the FDA",political-related,neutral
108,1467643982746460161,Omicron is supercharging the COVID vaccine booster debate https://t.co/7m76UrhS0U,booster-related,neutral
109,1467643980808552448,"@NRCC GOP’s bad COVID policy is literally killing its constituents 

https://t.co/TZ22StOdtz",political-related,neutral
110,1467643980099772417,@afneil How deadly is this new variant compared to the flu? Why would seasonal flu deaths be reclassified as covid? How long do you think vaccine passports would need to be in place for? Aren't you concerned about the Pfizer vaccine test data deaths. 1 in 17 dead during trails? https://t.co/ftLwS00oMK,vaccine-general-knowledge,negative
111,1467643961456140296,@DrEliDavid I gladly took 2 Pfizer jabs but now I'm done hahahahahahaha,pfizer-related,positive
112,1467643956855033856,"The COVID-19 vaccine is our best shot, Arkansas, at reducing the spread of COVID in our community. We encourage everyone to get the vaccine - and don't forget to get your second dose.

Call 501-506-2747 to schedule your appointment to get vaccinated. #COVID19Vaccine #OurShotAR https://t.co/860CgNx2tr",vaccine-outlook-related,positive
113,1467643955802255367,"https://t.co/BnZf9vUjI5
Many children of the 1935s are dying of covid. Please vaccinate them all!  #vaccinatevi_e_basta #VaccineMandate #vaccination #Pfizervaccine #SaveLives #SaveChildren #ChildrensRights #5to11vaccine https://t.co/WjdC6V5ATE",vaccine-outlook-related,positive
114,1467643953616982017,"Pfizer Will Not Give mRNA Shots To Countries Where They Face Legal Liabilities For Side Effects

""Pfizer has been hesitant to go into some of the countries because of the liability problems, they don’t have a liability shield."" - World Bank President David Malpass",political-related,neutral
115,1467643926995632131,"Speaking as a vaxed person who often still wears masks in public places, I have to ask at this point what the game plan is. If the vaccine is never going to actually eliminate Covid or stop spread completely and neither are masks, we're supposed to mask and vax forever?",vaccine-general-knowledge,neutral
116,1467643923178954758,"@JeremyDeeeeee @RebootedSystem @Bonnie74516917 @johnnydrummr @rainnwilson Wait wait wait.... ""his entire feed is filled with vaccine denial."" I quickly scrolled back through to October 1 and there's one vaccine/covid related retweet. Rest is all sports related. You're the one making shit up here pal....",other,neutral
117,1467643910889611265,@djlange It only appears to apply to the Covid-19 vaccines. I know people who decided not to get the influenza vaccine and they haven’t been labelled anti-vaxxers. Weird isn’t it.,vaccine-outlook-related,negative
118,1467643909740249090,"8yo niece got her second Pfizer jab today, and my mom is scheduled for her booster on Tuesday. Thank you, science!",booster-related,positive
119,1467643888861171723,"120 children hospitalized, province suspends Pfizer vaccine batch - VnExpress International https://t.co/Vr0MajUzVQ",pfizer-related,neutral
120,1467643882620211202,Urgent Omicron News: Johnson &amp; Johnson can make Pfizer and Moderna More Effective https://t.co/DVNYKLLvPb,political-related,positive
121,1467643876735258625,"Finally received my booster 💪🏼💉 Lucked out, walked in the pharmacy and they had an extra dose. #Pfizer",booster-related,positive
122,1467643862034223106,"@JayJayBeeze @Tony__Heller @MichaelAlleson @kath2cats @sammy44231 @handmadekathy @JonathanHannah @deralteGaukler @MelsyJ @sailor_man_dan @richykirsh @mcfunny @ogilville1 @JessHan95074669 @J_EmpyreanGoals @KStateTurk @provaxtexan @FraiseAdam @SultaneAlexand1 @AndrewLazarus4 @rpagano697 @satekor @kevinault @JimeeLiberty @swedishchf @tenebra99 @Sara4843 @janem1276 @doom37455413 @raouldukeerik @PaulDesmoParker @namagoy @Monstercoyliar @andylumm @_mamadeb @Kathmarval @Fannyi5 @TechARP @SkepticalMutant @runhack @CarvilleDean @ConsequentialBr @MichaelBuerger8 @WendyOrent @MsTrixter @DevoDalek @FactPhily @JamesLynchGTC @quintic @SoupTomatoSoup ""I actively tried to get covid but could not.""

Average age of death from covid is 84.

Average age of death from the vaccine is 33.

Covid prolongs life. It will soon be sold in health stores.",other,negative
123,1467643826940612609,.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx @BioNTech_Group @AstraZeneca: We can’t vaccinate the 🌍 unless countries and companies come clean on vaccine data. We need transparency now! https://t.co/FyoL4WeVK9,political-related,negative
124,1467643823203438592,"@DorneEdwards @IndolentDad @Chris_RA50 @StigAbell The difference between the polio vaccine and the covid vaccine is that the polio vaccine side effects are known, it's proven to actually work, and no one has threatened people with being shunned, fired, and kicked out of places for not having it. Stop being frightened fascists.",retweet,negative
125,1467643817687977987,Confidential Pfizer Document CONFIRMS Death-by-JAB! (LINKS in Description) https://t.co/SiRKYgM7qe via @BitChute,pfizer-related,negative
126,1467643792819957764,@bornoncemore @VABVOX Also the vaccine shortens the duration of COVID which means it spreads less.  So no your final point is that of a TOTAL JERK.  GO AWAY.,vaccine-general-knowledge,positive
127,1467643790005522439,"@JustinTrudeau @CPHO_Canada @GovCanHealth PLEASE hurry this approval process up. And PLEASE let the pill be a vaccine replacement or substitute, for those who need it (ie. those that fainted upon receiving their vax, etc.)  Be reasonable! It’s Christmas. ✨🎄 https://t.co/SvIFtOR5I8",political-related,neutral
128,1467643776688476161,Breaking news- Christmas in Western Australia is delayed by 2 weeks due to Santa not wanting to have a covid vaccination and having to quarantine for 14 days.,vaccine-outlook-related,neutral
129,1467643775128375306,@afneil So Neil is now on the payroll of Pfizer,pfizer-related,neutral
130,1467643735454490628,"Is New Jersey a Peek into the Future?

https://t.co/qOp8Pfxvwq

#COVID-19, #Governor, #Lock #downs, #Mandates, #New #Jersey, #Restrictions, #Vaccine #Passes https://t.co/5EQNu6jAG8",political-related,neutral
131,1467643710595035136,@IlmFeed @notbilberkeley @beisgovuk @bizsupportgovuk Where is the other woman’s hand? Was she caught stealing the COVID vaccine?,other,neutral
132,1467643709563056129,"Their investors? Cause it isn't the public. 
RT @thehill: New Harvard study declares winner between Pfizer and Moderna vaccines https://t.co/ZqoeIL4b3N https://t.co/wEhuPvEOEh",political-related,neutral
133,1467643703527448577,@StigAbell As someone who has a 99%+ chance of survival from Covid I’ve carried out my own risk assessment and decided that the risks associated with the vaccine far outweigh the benefits so it’s a no from me.,vaccine-outlook-related,neutral
134,1467643698036948997,"Are you finding it hard to get a #COVID-19 vaccine? Whether it’s your first dose, second dose, or booster dose, be sure to check out these high-volume vaccination sites now operating ALL OVER #Oregon!

Credit: https://t.co/vTrUIWh5gZ

https://t.co/KOsE7RoTFr",booster-related,neutral
135,1467643689107267584,Please protect our children ... no children should be jabbed.. https://t.co/QQx05yePwI,vaccine-outlook-related,negative
