id,topic,text,topic,emotion
1.47E+18,vaccine-proof,"As non-unionized workers start heading back into the workplace, those who are unvaccinated may wonder whether their employer can require or demand vaccination of their workforce.Read more about workplace vaccine mandates in our latest blog. https://t.co/8lfK2xf58w",,
1.47E+18,,"@LouDobbs Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,other,@mjordan73 @RealIvermectin @btysonmd Apparently you_Ñére just as blind to the smear campaign against ivermectin as you are to the _ÑÒvaccine_Ñù disinformation campaign calling them safe and effective. Brian has successfully treated thousands of Covid patients. What_Ñés your claim to fame?,,
1.47E+18,,&gt;&gt;&gt; Pro-Trump counties now have far higher COVID death rates. Misinformation is to blame   Counties that went heavily for Donald Trump have seen much lower vaccination rates and much higher death rates from COVID   https://t.co/DnYFw1bCZM,,
1.47E+18,political-related,"@DomSchiener This is not about the spread of COVID, it's more about forcing people to follow whatever rules governments impose. 1- W/or without vaccine any person can pass the virus to others. 2 - Whats the all logic of forcing people to show prof of vaccine, vaccine does not stop the spread.",,
1.47E+18,other,@MellingJen @matthewrobb701 @DavidFPower @afneil https://t.co/66Jm7WlBeu That was hard. Report your story cause I'd love to read a fact checked article about it. Clearly you are very unlucky.,,
1.47E+18,,"@ChristinaPushaw Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,booster-related,@Timcast Four covid injections in under a year! That IS NOT A VACCINE!!!,,
1.47E+18,vaccine-proof,Italian Man Who Tried To Use Fake Arm For Covid-19 Vaccine Is A Healthcare Worker https://t.co/m5qgiRL0bk https://t.co/CyqZ3dpPG1,,
1.47E+18,political-related,i have the vaccine but how do i explain to my parents that Big Pharma is bad and just wants to profit off covid https://t.co/l9NNQCR81V,,
1.47E+18,,"@rising_serpent Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,pfizer-related,@McGiff Pfizer killed my father in 40 days.  All you playing Russian roulette or who are paid shills will most likely run out of luck sooner than later.,,
1.47E+18,work-related,Judge denies L.A. firefighters union request to delay COVID vaccine mandateë_enforcement https://t.co/bfuFdZMuHg,,
1.47E+18,other,"@tanquiro @maximusmadham @TrackerTrial His philanthropy is giving to the Bill and Melinda Gates Foundation. It_Ñés a tax dodge rich people have. Every super rich person has a Foundation. He_Ñés doubled his wealth despite _ÑÉgiving his money away_Ñé. The Foundation invests in Pfizer, John Deere, Bayer/Monsanto &amp; more  1/2",,
1.47E+18,,"@libertytarian Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,vaccine-general-knowledge,@ProudOldSoldier Well for starters the polio vaccine actually stops transmission. Covid vaccine is not a vaccine. Cause it does not stop transmission.,,
1.47E+18,vaccine-general-knowledge,@CalumOakes1 @JuliaHB1 @afneil Try looking up vaccines and not this new covid vaccine as they are far to new to have any reliable  data.,,
1.47E+18,other,"@biscuitsgod @bmc126 @afneil Please look at the data.https://t.co/DjHNzhS8xK https://t.co/lyMDysZeBX",,
1.47E+18,pfizer-related,"@SenSanders Nor is @pfizer or @moderna_tx financially responsible for any damages caused by the jab. I'm not saying that the jab will cause future health problems, but the fact that they get away scott-free if damages occur is disconcerting.",,
1.47E+18,,"@KurtSchlichter Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,political-related,"Let's start the week with good news.https://t.co/GY6ieg8dE2",,
1.47E+18,political-related,@JohnC316 @cwebb2004 @treehugger1605 @Lin53237785 @johnabbottnet @Shenan2020 @LorieMeacham @DuckDuckGo Try again: https://t.co/JokA7usrPM,,
1.47E+18,,"@ThePatriotNurse Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,political-related,"@afbranco @AlphaNewsMN How about a cartoon illustrating this?Call it ""the land of 10,000+ dead suckers.""https://t.co/DvrWVwcemc",,
1.47E+18,work-related,@trevafcb2016 @naughtynell101 @TonyHinton2016 That_Ñés so amazing to me because we have lost 60 patients to Covid this year in our ICU and not one of the 400+ doctors and nurses in my immediate circle know of anyone who has died or had a severe reaction to the vaccine. We know they must happen because you say so.,,
1.47E+18,booster-related,Necessity of COVID-19 vaccination in previously infected individuals https://t.co/X7IBoXe6Ah,,
1.47E+18,vaccine-general-knowledge,"@Ann_Ah_ @rudybouma @GeertenWaling As of 17 November 2021, the overall reporting rate across all age groups for myocarditis following vaccination with the Pfizer vaccine is 10 per million doses; for pericarditis, it_Ñés 7 per million doses.1/3",,
1.47E+18,pfizer-related,"@curiousbird64 @DrJamesOlsson @iMadgen01 Only 1,518 got the vax and only 1,444 followed for two months - not enough to show less common side effects.And then there's the pfizer pfactor (pic2) Any parent who vaccinates their healthy children should be listed as insane. Some say, abusive. #covid19vic #auspol #springst https://t.co/GP1d8PHu8T",,
1.47E+18,side-effect-related,"3 Children Dead, 120 Hospitalized _ÑÓ Pfizer Vaccine Batch Suspended - https://t.co/1C487ca2Cm AGAIN! DANGER!  DO NOT GET THE VAX!  DO NOT MURDER YOUR CHILD!  SAY NO!",,
1.47E+18,booster-related,@evil_liz Getting my booster next week. My junk will be super shielded after having Covid then getting two Pfizer_Ñés. _ªç_,,
1.47E+18,,"""Italian Man Who Tried To Use Fake Arm For Covid-19 Vaccine Is A Healthcare Worker"" https://t.co/Yu4engbaji #health #pharma",,
1.47E+18,,"@Cernovich Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,pfizer-related,"@echo_chamberz I_Ñém sure none of the 20,000 deaths in the VAERS database are due to Pfizer_Ñés vaccine!!",,
1.47E+18,side-effect-related,"@matthewrobb701 @MellingJen @DavidFPower @afneil https://t.co/66Jm7WlBeu She's talking out of her arse. 15 out of 2.3 million had heart problems, yet she knows 5... like you said, BS.",,
1.47E+18,other,"@MaryGillan3 The first 2 were astra zenica but this one was Pfizer, I think on my letter it said you'd be getting Pfizer or moderna and my sister got something different again.",,
1.47E+18,other,"Dolly Parton (Dolly Rebecca Parton) is an American singer, songwriter, multi-instrumentalist, actress, author, businesswoman, and humanitarian, known primarily for her work in country music. She also known for helping to fund Covid-19 vaccine research.Effects by DesignationSix. https://t.co/HEDt7HFkcv",,
1.47E+18,,"@PrisonPlanet Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,vaccine-proof,No checking of vaccination certificate/ COVID Test report being done at @DelhiAirport as observed today during boarding my @AirAsiaIndia flight to Guwahati today.,,
1.47E+18,political-related,"The ""Omicron Variant "" made almost 12 BILLION dollars for Pfizer and Moderna shareholders in 1 week. https://t.co/vBiTRbAQQI",,
1.47E+18,booster-related,"@alltoorebecca Also will say I had covid before getting vaccinated, and had pfizer for all 3 doses and dose 2 knocked me on my ass. Booster reaction is just slightly better than dose 2",,
1.47E+18,,"@RoystonPotter Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,work-related,"Judge denies L.A. firefighters union request to delay COVID vaccine mandate enforcement https://t.co/ISUQab74jl",,
1.47E+18,side-effect-related,"Fully vaccinated staffers &amp; passengers....still got Covid on the ship. But sure, keep pushing the stupid vaccine mandates, they're working so well.https://t.co/xR6oylcqvE",,
1.47E+18,pfizer-related,"@drnickgreiner See this shit by chance?https://t.co/ixUhUS3E57",,
1.47E+18,,"@Jkylebass Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,political-related,So why are two more black NFL players being punished for misrepresenting their COVID vaccine status and #12 (the white guy) got off with a 1-game sit-out? Racist much? Was he fined?,,
1.47E+18,other,"@mhdksafa I know that you need to hear that neither Polio or smallpox have an animal reservoir host, but they did have a real vaccine available for protection.Covid has @ least identified the idiots for us.",,
1.47E+18,pfizer-related,"@Timcast When does the IV drip come out?Sorry ignore that Pfizer.",,
1.47E+18,vaccine-proof,"@ShellyMBoulder Seriously?  Do you think the Covid vaccine passport is so civilized?It is the most stupid and totalitarian measure since the Third Reich.",,
1.47E+18,vaccine-general-knowledge,"My last OpEd (https://t.co/z3xsMMPwN9) was abt @KingJames &amp; encouraging vaccine uptake. The opportunity is still there, &amp; new @NEJM paper using no other than vax_Ñéd @NBA players_Ñé data shows vaccinated ppl who get covid clear it faster (https://t.co/Ukiio5wJQS) h/t @RWeintraubMD https://t.co/JwQvKvSIHf https://t.co/qvmSjeNwIw",,
1.47E+18,pfizer-related,"@Radica00 As most stocks plummeted in recent days, Pfizer has done surprisingly well. The trend has been upward for Pfizer while most of the other stocks took a nose dive. https://t.co/VsZwxmQNkr",,
1.47E+18,political-related,"@EmmaStarkey11 @AlYap73961573 In Australia there's also been almost no Covid. And yes, Pfizer and Moderna's vaccines aren't well designed side effect wise and I would at the very least stop jabbing &lt;30 year olds with those.",,
1.47E+18,other,"@MGresko2431 I won_Ñét say it that way because I love them all dearly, but yes. They have chosen not to mask or vaccinate. I want them all healthy again, and I don_Ñét want to lose any more family members on that side. One caught Covid before the vaccine and still wasn_Ñét masked. It_Ñés concerning.",,
1.47E+18,vaccine-proof,@ArtKorenevsky @seanpero theres a huge difference between being in a vaccine required sports arena with no mask on and being in a covid ward obviously.,,
1.47E+18,vaccine-outlook-related,"Oh, and get the bloody vaccine. Several of the 40 people waiting in A&amp;E were there because of Covid",,
1.47E+18,,"@CanariesBlue Type pfizer criminal history into google. Its mandated you inject their product in our body.""Pfizer has been a _ÑÒhabitual offender,_Ñù persistently engaging in illegal and corrupt marketing practices, bribing physicians and suppressing adverse trial results.""",,
1.47E+18,political-related,"@KARMAISAROUNDUS @Niros_CH @decaraiman Karma uite asta e tare! discutau oct. 2019! video ce zice Rick Bright ala fix de Chinahttps://t.co/8PM26BO0jl Fauci""untested kind of vaccine like an mRNA vaccine,would take at least a decade (if everything goes perfectly_Ñù) to go through proper trials and be approved by the FDA",,
1.47E+18,booster-related,Omicron is supercharging the COVID vaccine booster debate https://t.co/7m76UrhS0U,,
1.47E+18,political-related,"@NRCC GOP_Ñés bad COVID policy is literally killing its constituents https://t.co/TZ22StOdtz",,
1.47E+18,vaccine-general-knowledge,@afneil How deadly is this new variant compared to the flu? Why would seasonal flu deaths be reclassified as covid? How long do you think vaccine passports would need to be in place for? Aren't you concerned about the Pfizer vaccine test data deaths. 1 in 17 dead during trails? https://t.co/ftLwS00oMK,,
1.47E+18,pfizer-related,@DrEliDavid I gladly took 2 Pfizer jabs but now I'm done hahahahahahaha,,
1.47E+18,vaccine-outlook-related,"The COVID-19 vaccine is our best shot, Arkansas, at reducing the spread of COVID in our community. We encourage everyone to get the vaccine - and don't forget to get your second dose.Call 501-506-2747 to schedule your appointment to get vaccinated. #COVID19Vaccine #OurShotAR https://t.co/860CgNx2tr",,
1.47E+18,vaccine-outlook-related,"https://t.co/BnZf9vUjI5Many children of the 1935s are dying of covid. Please vaccinate them all!  #vaccinatevi_e_basta #VaccineMandate #vaccination #Pfizervaccine #SaveLives #SaveChildren #ChildrensRights #5to11vaccine https://t.co/WjdC6V5ATE",,
1.47E+18,political-related,"Pfizer Will Not Give mRNA Shots To Countries Where They Face Legal Liabilities For Side Effects""Pfizer has been hesitant to go into some of the countries because of the liability problems, they don_Ñét have a liability shield."" - World Bank President David Malpass",,
1.47E+18,,"Speaking as a vaxed person who often still wears masks in public places, I have to ask at this point what the game plan is. If the vaccine is never going to actually eliminate Covid or stop spread completely and neither are masks, we're supposed to mask and vax forever?",,
1.47E+18,other,"@JeremyDeeeeee @RebootedSystem @Bonnie74516917 @johnnydrummr @rainnwilson Wait wait wait.... ""his entire feed is filled with vaccine denial."" I quickly scrolled back through to October 1 and there's one vaccine/covid related retweet. Rest is all sports related. You're the one making shit up here pal....",,
1.47E+18,vaccine-outlook-related,@djlange It only appears to apply to the Covid-19 vaccines. I know people who decided not to get the influenza vaccine and they haven_Ñét been labelled anti-vaxxers. Weird isn_Ñét it.,,
1.47E+18,booster-related,"8yo niece got her second Pfizer jab today, and my mom is scheduled for her booster on Tuesday. Thank you, science!",,
1.47E+18,pfizer-related,"120 children hospitalized, province suspends Pfizer vaccine batch - VnExpress International https://t.co/Vr0MajUzVQ",,
1.47E+18,political-related,Urgent Omicron News: Johnson &amp; Johnson can make Pfizer and Moderna Moreë_Effective https://t.co/DVNYKLLvPb,,
1.47E+18,booster-related,"Finally received my booster _ªê__ªè__ªê_ Lucked out, walked in the pharmacy and they had an extra dose. #Pfizer",,
1.47E+18,other,"@JayJayBeeze @Tony__Heller @MichaelAlleson @kath2cats @sammy44231 @handmadekathy @JonathanHannah @deralteGaukler @MelsyJ @sailor_man_dan @richykirsh @mcfunny @ogilville1 @JessHan95074669 @J_EmpyreanGoals @KStateTurk @provaxtexan @FraiseAdam @SultaneAlexand1 @AndrewLazarus4 @rpagano697 @satekor @kevinault @JimeeLiberty @swedishchf @tenebra99 @Sara4843 @janem1276 @doom37455413 @raouldukeerik @PaulDesmoParker @namagoy @Monstercoyliar @andylumm @_mamadeb @Kathmarval @Fannyi5 @TechARP @SkepticalMutant @runhack @CarvilleDean @ConsequentialBr @MichaelBuerger8 @WendyOrent @MsTrixter @DevoDalek @FactPhily @JamesLynchGTC @quintic @SoupTomatoSoup ""I actively tried to get covid but could not.""Average age of death from covid is 84.Average age of death from the vaccine is 33.Covid prolongs life. It will soon be sold in health stores.",,
1.47E+18,political-related,.@POTUS @BorisJohnson @JustinTrudeau @RegSprecher @Palazzo_Chigi @EmmanuelMacron @JPN_PMO @pfizer @moderna_tx @BioNTech_Group @AstraZeneca: We can_Ñét vaccinate the _ªÔç unless countries and companies come clean on vaccine data. We need transparency now! https://t.co/FyoL4WeVK9,,
1.47E+18,,"@DorneEdwards @IndolentDad @Chris_RA50 @StigAbell The difference between the polio vaccine and the covid vaccine is that the polio vaccine side effects are known, it's proven to actually work, and no one has threatened people with being shunned, fired, and kicked out of places for not having it. Stop being frightened fascists.",,
1.47E+18,pfizer-related,Confidential Pfizer Document CONFIRMS Death-by-JAB! (LINKS in Description) https://t.co/SiRKYgM7qe via @BitChute,,
1.47E+18,vaccine-general-knowledge,@bornoncemore @VABVOX Also the vaccine shortens the duration of COVID which means it spreads less.  So no your final point is that of a TOTAL JERK.  GO AWAY.,,
1.47E+18,political-related,"@JustinTrudeau @CPHO_Canada @GovCanHealth PLEASE hurry this approval process up. And PLEASE let the pill be a vaccine replacement or substitute, for those who need it (ie. those that fainted upon receiving their vax, etc.)  Be reasonable! It_Ñés Christmas. _ÒŒ_ª_† https://t.co/SvIFtOR5I8",,
1.47E+18,vaccine-outlook-related,Breaking news- Christmas in Western Australia is delayed by 2 weeks due to Santa not wanting to have a covid vaccination and having to quarantine for 14 days.,,
1.47E+18,pfizer-related,@afneil So Neil is now on the payroll of Pfizer,,
1.47E+18,political-related,"Is New Jersey a Peek into the Future?https://t.co/qOp8Pfxvwq#COVID-19, #Governor, #Lock #downs, #Mandates, #New #Jersey, #Restrictions, #Vaccine #Passes https://t.co/5EQNu6jAG8",,
1.47E+18,other,@IlmFeed @notbilberkeley @beisgovuk @bizsupportgovuk Where is the other woman_Ñés hand? Was she caught stealing the COVID vaccine?,,
1.47E+18,political-related,"Their investors? Cause it isn't the public. RT @thehill: New Harvard study declares winner between Pfizer and Moderna vaccines https://t.co/ZqoeIL4b3N https://t.co/wEhuPvEOEh",,
1.47E+18,vaccine-outlook-related,@StigAbell As someone who has a 99%+ chance of survival from Covid I_Ñéve carried out my own risk assessment and decided that the risks associated with the vaccine far outweigh the benefits so it_Ñés a no from me.,,
1.47E+18,booster-related,"Are you finding it hard to get a #COVID-19 vaccine? Whether it_Ñés your first dose, second dose, or booster dose, be sure to check out these high-volume vaccination sites now operating ALL OVER #Oregon!Credit: https://t.co/vTrUIWh5gZhttps://t.co/KOsE7RoTFr",,
1.47E+18,vaccine-outlook-related,Please protect our children ... no children should be jabbed.. https://t.co/QQx05yePwI,,
1.47E+18,pfizer-related,@afneil How do you know all this when the #EUA injections remain in trials until 2023? Also have you not read the Pfizer documents - the ones they wanted to keep secret for 55 years? If you're scared of an unjabbed person in public then you don't seem too cconfident about all your jabs? https://t.co/EZJODQuZdC,,
1.47E+18,vaccine-outlook-related,"I think anyone who wants the vaccine should take it. Personally, I wanted it, but when I tried to apply for it the warnings told me it isn't recommended for someone with my pre-existing conditions. I just want safe and effective protection against COVID. Not yet available.",,
1.47E+18,,Pro-Trump counties now have far higher COVID death rates. Misinformation is to blame https://t.co/47hasku8Ry,,
